"Date","Predicted","Actual","Upper","Lower","Lpds"
1990-01-01,4.63777209017542,14.9579481869857,7.17579785963797,1.93824987885154,-5.46266501447111
1990-02-01,4.97039037966585,14.9496055876918,7.35969346363695,2.32286439139282,-5.27003283404313
1990-03-01,4.7700784114289,15.0549821102289,7.23761235657844,2.09255611209948,-5.44976185097271
1990-04-01,4.78227861742682,15.2061165216084,7.24544612704501,2.10659043868574,-5.53988449990591
1990-05-01,4.42644034620194,14.4544864274152,7.08911436791031,1.69204976577196,-5.26314046212552
1990-06-01,4.16522401652738,14.4554102325362,6.98067441518646,1.38574948816709,-5.40216341316514
1990-07-01,4.29555261799145,14.5501488443076,6.9870435630529,1.4957025874727,-5.47240350098351
1990-08-01,5.27749538975154,15.7056454563594,7.49037527990238,2.68489459231193,-5.66305244353414
1990-09-01,5.8167485849939,16.1303222714911,7.98483961047113,3.33203124739211,-5.60809055824602
1990-10-01,6.11723141205164,15.8303544825237,8.33952584525412,3.68158501881607,-5.23042006065146
1990-11-01,5.88744945482633,15.4197519131953,8.06624133833407,3.41599567800687,-5.11696551054192
1990-12-01,5.47777257543793,14.522336198856,7.65180319875585,2.92630401597397,-4.82021709499763
1991-01-01,5.57418222583278,14.649112480056,7.77717005285608,3.12522199281265,-4.81024345258419
1991-02-01,4.47001698547009,13.1239838863996,7.05798421133165,1.79711786754838,-4.52028999136537
1991-03-01,4.1770282570225,11.7078155885305,6.91228835419843,1.43435515605518,-3.95807953587496
1991-04-01,3.96438523017566,11.4806604908808,6.83399919174344,1.17487616337125,-3.94070574087435
1991-05-01,4.04011178367905,12.2273327511674,6.85428673433847,1.26825589803817,-4.25543968768167
1991-06-01,4.05287056585976,11.9315518156239,6.86039201306249,1.28418935074894,-4.10957779078058
1991-07-01,4.02018099773058,11.5910942632518,6.86387466715216,1.28593678451126,-3.9948856513707
1991-08-01,3.76439933943006,11.0991402751023,6.76395003592561,0.961795088720872,-3.87867864984556
1991-09-01,3.86136458145262,9.81340932644539,6.80133740278564,1.08498352887601,-3.35510863478253
1991-10-01,3.86642920769798,10.1914025159171,6.80458990090985,1.09162370505194,-3.48591414103034
1991-11-01,3.90417009245539,10.7851720372497,6.82137140827631,1.13980677392414,-3.69852149769779
1991-12-01,3.8085761646009,10.8952469055153,6.77724751938369,1.01928717513028,-3.77747575659549
1992-01-01,2.8757216904141,10.0688389241661,6.59442678587588,-0.0850208736783576,-3.73524569262932
1992-02-01,2.9959067445365,9.75652099875555,6.62970948663996,0.073898277657825,-3.57659004472603
1992-03-01,3.18522150667938,10.393468426541,6.6760042260603,0.315613175188181,-3.75617120083031
1992-04-01,3.17405079690352,9.92473008658468,6.6737544141348,0.301713826344502,-3.57937822723875
1992-05-01,2.94576979975816,9.40228370768157,6.61557131079975,0.00799387767482786,-3.46629568968434
1992-06-01,3.16511274799365,8.91511606171027,6.67287984900004,0.290603573674463,-3.23834219016668
1992-07-01,3.0532617034051,7.48956599860078,6.53993403253422,0.046255773310332,-2.89082521627528
1992-08-01,2.98857891491251,7.50521177233503,6.51401940072655,-0.0400679042555531,-2.91002430976455
1992-09-01,2.99710855584699,6.95448776410601,6.51737698845025,-0.0290192589440615,-2.78679736966014
1992-10-01,3.21304063879569,6.95463672685392,6.59133528529912,0.256892962056786,-2.74032909397621
1992-11-01,2.91743929399752,7.3658714499208,6.48881902293015,-0.136807894205873,-2.89461328135277
1992-12-01,2.525151534008,6.92570001637467,6.37155494292671,-0.64951759039568,-2.88758153355261
1993-01-01,2.61605063395587,6.89205544225495,6.32363087244206,-0.541631649271324,-2.87240131204876
1993-02-01,2.47298883792316,5.96008359866009,6.27908515622252,-0.736698976031244,-2.71774392525897
1993-03-01,2.27323932583069,5.84589498500139,6.22440281723535,-1.00340721243674,-2.73750307261717
1993-04-01,2.52970067010868,6.58908204128836,6.29912322658314,-0.660049376411381,-2.82704259689172
1993-05-01,2.49086538061069,7.09717971550785,6.28361740190409,-0.713258806922682,-2.94884125650295
1993-06-01,2.4323636462906,7.60336204726311,6.26878543817537,-0.787994474055109,-3.09039953019361
1993-07-01,2.43645435006827,7.6491577847394,6.2986653904744,-0.787927877592332,-3.09654235382701
1993-08-01,2.27509062335633,7.43238863252456,6.24796899803673,-1.00827373153948,-3.08083314478171
1993-09-01,2.1569675083806,7.60979634683006,6.20549987501608,-1.17088027742963,-3.16007546849385
1993-10-01,2.08158881647889,7.74932393810008,6.18326239849613,-1.26956171350104,-3.2199164139433
1993-11-01,2.12803504289673,7.91503760691608,6.1965090332114,-1.20875699259946,-3.25543707011646
1993-12-01,2.04538830607101,8.1575467808096,6.17207392515551,-1.31695333391051,-3.35228348678602
1994-01-01,1.8840688019915,8.4698885504678,6.13993892262603,-1.52790263508123,-3.49566079259098
1994-02-01,1.98025574054251,8.57409168935146,6.17887334440966,-1.39731584682408,-3.50179666576287
1994-03-01,2.25976510300235,8.52579855183389,6.26399747380541,-1.01460936874168,-3.40206975611358
1994-04-01,2.7650182647289,8.98080685186899,6.42615817264171,-0.337537137099593,-3.39959900878823
1994-05-01,2.67330669760136,8.52781230578765,6.38515028332055,-0.459448786732461,-3.28032892429721
1994-06-01,2.61209441463943,8.71658207274504,6.36941212417883,-0.539000047207479,-3.35873124556226
1994-07-01,2.81358140607751,8.57371728216079,6.4231435320609,-0.323940444129364,-3.27081490811936
1994-08-01,2.51162996141776,8.13150700249778,6.32327007561071,-0.738728779040919,-3.22301631274115
1994-09-01,2.48521831053542,8.34676666405327,6.31510435129471,-0.775138812841072,-3.2954135780449
