"Date","Parameter","Rhat","ESS_Bulk","ESS_Tail","Block","Step"
1990-01-01,"b_Intercept",1.0004163294106,1649.29592448561,1982.01937300239,1,1
1990-01-01,"b_CAPE",1.00075909418896,1713.12752459874,1971.97032409636,1,1
1990-01-01,"sd_Period30__Intercept",1.00017209804448,1040.95659065438,1570.55296341343,1,1
1990-01-01,"sd_Period30__CAPE",1.00046768544322,922.996254312995,1377.84546126192,1,1
1990-01-01,"cor_Period30__Intercept__CAPE",1.00016790030441,989.113167433231,1596.80714542547,1,1
1990-01-01,"sigma",0.999803415591066,3145.53911149162,1840.62372962332,1,1
1990-01-01,"r_Period30[1870-1899,Intercept]",0.99973464419794,1724.98088359039,1743.37328177079,1,1
1990-01-01,"r_Period30[1900-1929,Intercept]",1.00077305031703,1708.30941591581,2112.84890792444,1,1
1990-01-01,"r_Period30[1930-1959,Intercept]",1.00050327236121,1819.86184371472,1998.83541632454,1,1
1990-01-01,"r_Period30[1960-1989,Intercept]",1.00131835367394,1747.30979920336,1825.42191303808,1,1
1990-01-01,"r_Period30[1870-1899,CAPE]",1.00016447013303,1546.82837696029,1760.88004793838,1,1
1990-01-01,"r_Period30[1900-1929,CAPE]",1.0010456966681,1759.66795027686,2091.4937646594,1,1
1990-01-01,"r_Period30[1930-1959,CAPE]",1.00040502900507,2068.28797010293,2176.72797752054,1,1
1990-01-01,"r_Period30[1960-1989,CAPE]",1.00076636471118,1897.51510502857,2112.1607638054,1,1
1990-07-01,"b_Intercept",1.00016792877139,1565.70481938528,2043.3856103227,1,2
1990-07-01,"b_CAPE",1.00088318996229,1813.84877164815,1563.4731535252,1,2
1990-07-01,"sd_Period30__Intercept",0.999737782198192,886.040001278006,1486.81383758709,1,2
1990-07-01,"sd_Period30__CAPE",1.00042815042051,1023.59293091395,1389.89828160102,1,2
1990-07-01,"cor_Period30__Intercept__CAPE",1.00000663316681,1052.89685789061,1410.95960150601,1,2
1990-07-01,"sigma",0.999893511355568,3081.37534547197,2112.02766619924,1,2
1990-07-01,"r_Period30[1870-1899,Intercept]",0.999711423023828,1721.47247256849,1981.84900440713,1,2
1990-07-01,"r_Period30[1900-1929,Intercept]",1.00006273295709,1606.21906788946,2014.39180731205,1,2
1990-07-01,"r_Period30[1930-1959,Intercept]",1.0005423124824,1681.2175936433,2049.20352411806,1,2
1990-07-01,"r_Period30[1960-1989,Intercept]",1.00006751944953,1664.73465229845,1996.31639073057,1,2
1990-07-01,"r_Period30[1870-1899,CAPE]",1.00259503054728,1807.32429474262,1836.3331242106,1,2
1990-07-01,"r_Period30[1900-1929,CAPE]",1.00055242901134,1739.48646612764,1846.88673335765,1,2
1990-07-01,"r_Period30[1930-1959,CAPE]",1.00153389016629,2000.55094436052,1948.47740060398,1,2
1990-07-01,"r_Period30[1960-1989,CAPE]",1.00004152627992,2017.54528746567,2178.68528041935,1,2
1991-01-01,"b_Intercept",0.999970350201977,1235.10187131615,1772.46224466739,1,3
1991-01-01,"b_CAPE",0.999999218408369,1803.82923166645,1699.73679611545,1,3
1991-01-01,"sd_Period30__Intercept",1.00094343607885,922.941708486989,1459.90509282221,1,3
1991-01-01,"sd_Period30__CAPE",0.999871855608645,957.625885618792,1266.37429471982,1,3
1991-01-01,"cor_Period30__Intercept__CAPE",1.00269597485738,1156.07786664633,1545.74565892764,1,3
1991-01-01,"sigma",1.00012849176118,2636.59159017529,1986.25545844626,1,3
1991-01-01,"r_Period30[1870-1899,Intercept]",1.00068708922585,1346.92548644065,1667.1980375381,1,3
1991-01-01,"r_Period30[1900-1929,Intercept]",1.00020097797448,1500.49625558961,1787.04727954135,1,3
1991-01-01,"r_Period30[1930-1959,Intercept]",0.999970784944364,1336.06841218866,2117.77218213282,1,3
1991-01-01,"r_Period30[1960-1989,Intercept]",1.00120400807182,1372.95247734278,1949.60095167577,1,3
1991-01-01,"r_Period30[1870-1899,CAPE]",1.00046125912831,1647.04978918662,1431.0566032525,1,3
1991-01-01,"r_Period30[1900-1929,CAPE]",1.00021989474311,1829.56188602337,1835.60138012152,1,3
1991-01-01,"r_Period30[1930-1959,CAPE]",1.00013566898416,1990.36878124807,1926.93304979775,1,3
1991-01-01,"r_Period30[1960-1989,CAPE]",0.999741962033698,1900.22700788524,1829.15426646751,1,3
1991-07-01,"b_Intercept",1.00063460324913,1367.1914268069,1676.59272628068,1,4
1991-07-01,"b_CAPE",1.0003508714856,1472.4857700248,1404.9514408086,1,4
1991-07-01,"sd_Period30__Intercept",1.00120657928503,1158.51602079979,1390.90889026018,1,4
1991-07-01,"sd_Period30__CAPE",1.00206711207637,961.295273744746,1502.57317796147,1,4
1991-07-01,"cor_Period30__Intercept__CAPE",1.00146691924437,1202.22591759466,1601.18301596999,1,4
1991-07-01,"sigma",1.00013259887128,3124.2064695263,1848.55437374012,1,4
1991-07-01,"r_Period30[1870-1899,Intercept]",0.999867781410528,1520.31594323426,1584.95820379816,1,4
1991-07-01,"r_Period30[1900-1929,Intercept]",1.00021941702104,1491.1213888663,1693.6618981502,1,4
1991-07-01,"r_Period30[1930-1959,Intercept]",1.000314385636,1511.3390234793,1848.68147267339,1,4
1991-07-01,"r_Period30[1960-1989,Intercept]",1.00010803066028,1472.37432156969,1756.64076234534,1,4
1991-07-01,"r_Period30[1870-1899,CAPE]",0.999754116374452,1557.75063040579,1353.29049503341,1,4
1991-07-01,"r_Period30[1900-1929,CAPE]",1.00000142511138,1498.22367606419,1466.28573357378,1,4
