"block","prior_date","train_end","prior","class","coef","group","resp","dpar","nlpar","lb","ub","tag","source"
1,1990-01-01,1979-12-01,"normal(-0.920234416146237, 0.0377404337495069)","b","CAPE","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"normal(20.0902480221016, 0.585818019353793)","b","Intercept","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(-0.959800858411767, 0.0359578085245586)","b","CAPE","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(20.7978696162299, 0.545132600434955)","b","Intercept","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(-0.981150388400958, 0.0342816977726456)","b","CAPE","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(21.2812016209063, 0.51617275807657)","b","Intercept","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(-0.971047484563851, 0.0365793545982116)","b","CAPE","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(21.5566858542817, 0.544091353923247)","b","Intercept","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(-0.898550618398425, 0.0405496544751393)","b","CAPE","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(21.1712245020752, 0.610198395252165)","b","Intercept","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(-0.831349340965891, 0.0410733823452118)","b","CAPE","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(20.5438518570788, 0.642160044676369)","b","Intercept","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(-0.621744625075192, 0.0361010231670423)","b","CAPE","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(17.4668760141219, 0.601337168436741)","b","Intercept","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(-0.46743403263472, 0.0239868376751272)","b","CAPE","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(14.7523039781696, 0.459519751483)","b","Intercept","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(-0.432515153118558, 0.0223183434952219)","b","CAPE","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(13.8714808329102, 0.448666001892421)","b","Intercept","","","","",NA,NA,"","user"
