Date,CAPE,CPI,GS10,Real_Return_10Y,Inflation,Inflation_10Y_Rolling,Inflation_Category
1916-12-01,11.413559188849492,11.6,4.215,5.495815423552353,12.621359223300965,2.5828012599018844,medium
1917-01-01,10.99236142738342,11.7,4.23,5.880181001885387,12.5,2.649514832633596,medium
1917-02-01,10.063187738735724,12.0,4.258333333333333,7.022113427245946,15.384615384615374,2.7215363347528667,medium
1917-03-01,10.327157080107874,12.0,4.286666666666667,6.909271759419999,14.28571428571428,2.7937655937900794,medium
1917-04-01,9.644531197281228,12.6,4.315000000000001,7.842214181408602,18.867924528301884,2.9041799381821893,medium
1917-05-01,9.138988813373574,12.8,4.343333333333334,8.671548823313291,19.62616822429908,3.0121721062757882,medium
1917-06-01,9.148220259539578,13.0,4.371666666666667,8.618722622392516,20.370370370370374,3.117112654894916,medium
1917-07-01,9.003472377228801,12.8,4.4,9.15956406481464,18.518518518518512,3.175652981686409,medium
1917-08-01,8.572680466753779,13.0,4.428333333333334,10.264761118331611,19.266055045871553,3.261297252532095,medium
1917-09-01,7.950823264217063,13.3,4.456666666666667,11.578614421476363,19.81981981981984,3.361649879896636,medium
1917-10-01,7.387133711108145,13.5,4.485,12.092534378923592,19.469026548672552,3.469548299816955,medium
1917-11-01,6.753013604774306,13.5,4.513333333333334,13.34386458559116,17.391304347826097,3.6055133761943687,medium
1917-12-01,6.4125938981198205,13.7,4.541666666666667,14.11512630450893,18.10344827586208,3.77410208812159,medium
1918-01-01,6.640646028655353,14.0,4.57,13.693373732090253,19.658119658119656,3.9558370440920365,medium
1918-02-01,6.7843435516302835,14.1,4.564166666666667,13.385817820459467,17.500000000000004,4.145531598502196,medium
1918-03-01,6.686355760455896,14.0,4.558333333333334,14.087057280347093,16.666666666666675,4.319881319709536,medium
1918-04-01,6.520727730547161,14.2,4.5525,15.01360755601615,12.698412698412698,4.45229516316972,medium
1918-05-01,6.582363231621082,14.5,4.546666666666667,15.132497355288944,13.28125,4.606376486769278,medium
1918-06-01,6.496291318641056,14.7,4.5408333333333335,14.724108245885215,13.076923076923075,4.766893467859978,medium
1918-07-01,6.37132409384899,15.1,4.535,14.986543186353485,17.96875,4.959582798617447,medium
1918-08-01,6.303073760914595,15.4,4.529166666666667,15.43610061605596,18.461538461538463,5.156378699887736,medium
1918-09-01,6.149170562431682,15.7,4.523333333333333,16.33446674639638,18.045112781954884,5.349704387161496,medium
1918-10-01,6.290515321191324,16.0,4.5175,16.33744407667286,18.518518518518512,5.5465440065291265,high
1918-11-01,6.333327495354158,16.3,4.511666666666667,16.989821952414317,20.740740740740748,5.719383512701965,high
1918-12-01,6.1345804112834355,16.5,4.505833333333333,17.447357005386266,20.43795620437956,5.862528080412486,high
1919-01-01,6.098467639950107,16.5,4.5,18.32555157660243,17.85714285714286,5.983867218298589,high
1919-02-01,6.23969277136498,16.2,4.539166666666667,18.089251715294342,14.893617021276583,6.0616826457088235,high
1919-03-01,6.356074004869145,16.4,4.578333333333333,18.121561867449508,17.142857142857125,6.1582417407988945,high
1919-04-01,6.456139555819279,16.7,4.6175,17.9187569486964,17.6056338028169,6.250014583975529,high
1919-05-01,6.829002261482036,16.9,4.656666666666666,17.352592506401198,16.551724137931025,6.323845452917672,high
1919-06-01,7.021615214784136,16.9,4.695833333333333,17.17175250969152,14.965986394557817,6.3753024468750175,high
1919-07-01,7.052837165446315,17.4,4.734999999999999,17.979925831988155,15.231788079470189,6.438830731322343,high
1919-08-01,6.47913110170528,17.7,4.774166666666666,19.638077411163792,14.935064935064934,6.490826508098517,high
1919-09-01,6.558481672061265,17.8,4.813333333333333,19.956546211141067,13.375796178343968,6.520776274273455,high
1919-10-01,6.794704199949306,18.1,4.852499999999999,18.209174235471902,13.125000000000009,6.540541930746893,high
1919-11-01,6.467022574133136,18.5,4.891666666666667,15.214509279830768,13.496932515337413,6.564360514287881,high
1919-12-01,6.160717033799181,18.9,4.930833333333333,16.313220849180453,14.545454545454529,6.5978501931619595,high
1920-01-01,5.989667771139444,19.3,4.97,16.896747118832156,16.96969696969697,6.650608480489278,high
1920-02-01,5.455347649907775,19.5,4.9799999999999995,18.797880726469284,20.370370370370374,6.741412862267136,high
1920-03-01,5.798822727557162,19.7,4.99,18.60158496149653,20.12195121951219,6.812607075820759,high
1920-04-01,5.599858725506188,20.3,5.0,19.696434381990315,21.556886227544926,6.9063336729566975,high
1920-05-01,5.188950462047498,20.6,5.01,19.958456398027845,21.89349112426038,7.029250452396055,high
1920-06-01,5.043639680451624,20.9,5.02,19.11761957298188,23.66863905325445,7.184400049219818,high
1920-07-01,5.080592919540798,20.8,5.029999999999999,18.941984411646228,19.54022988505748,7.305146236308605,high
1920-08-01,5.020701077922862,20.3,5.039999999999999,19.025797397288468,14.689265536723163,7.402558768672247,high
1920-09-01,5.297162770108062,20.0,5.05,18.339246211333847,12.35955056179774,7.4973024597266775,high
1920-10-01,5.351177393424158,19.9,5.0600000000000005,16.586868535422216,9.944751381215443,7.612537646832044,high
1920-11-01,5.126407930947928,19.8,5.069999999999999,16.319479470239727,7.027027027027022,7.7271906054963155,high
1920-12-01,4.784241045083251,19.4,5.079999999999999,16.57335850808832,2.645502645502651,7.812734636851796,high
1921-01-01,5.122184146887375,19.0,5.09,16.311673642059322,-1.5544041450777257,7.855875669081862,high
