"Date","Parameter","Rhat","ESS_Bulk","ESS_Tail","Block","Step"
1990-01-01,"b_Intercept",0.999737266280799,1526.00809866589,1408.27052105515,1,1
1990-01-01,"b_CAPE",1.00052584449547,1321.82462275123,1904.92590627909,1,1
1990-01-01,"sd_Period30__Intercept",1.00044229305178,1347.49878939915,1543.37608242632,1,1
1990-01-01,"sd_Period30__CAPE",1.00236367151515,797.884323579629,1198.93621293706,1,1
1990-01-01,"cor_Period30__Intercept__CAPE",0.999957839205673,1195.96388639249,1489.7491966538,1,1
1990-01-01,"sigma",1.00016529471503,3162.30464353467,2059.55944547559,1,1
1990-01-01,"r_Period30[1870-1899,Intercept]",1.0006417519335,1642.14380997781,1590.97748414925,1,1
1990-01-01,"r_Period30[1900-1929,Intercept]",0.999871553662877,1556.8768270183,1690.40839261956,1,1
1990-01-01,"r_Period30[1930-1959,Intercept]",0.999713279212389,1731.99117471903,1880.15969529807,1,1
1990-01-01,"r_Period30[1960-1989,Intercept]",0.999970981507955,1685.68377238407,1892.92024233423,1,1
1990-01-01,"r_Period30[1870-1899,CAPE]",0.999802963981049,1310.42789056699,1232.88166967873,1,1
1990-01-01,"r_Period30[1900-1929,CAPE]",1.00121555971524,1357.42452132857,1817.5296805898,1,1
1990-01-01,"r_Period30[1930-1959,CAPE]",1.00164568868609,1563.33947094745,1934.25058442714,1,1
1990-01-01,"r_Period30[1960-1989,CAPE]",1.00049031826418,1347.54276603425,1897.58902350718,1,1
1990-07-01,"b_Intercept",0.999826392283875,1452.0745348471,1443.68656729412,1,2
1990-07-01,"b_CAPE",1.00076931997814,1587.190377009,2085.9892292381,1,2
1990-07-01,"sd_Period30__Intercept",1.00119213523596,1192.74745640254,1719.67045747249,1,2
1990-07-01,"sd_Period30__CAPE",1.00056620618803,969.959300662772,1558.45453343807,1,2
1990-07-01,"cor_Period30__Intercept__CAPE",1.00465443734615,1353.79083887541,1798.19818916187,1,2
1990-07-01,"sigma",1.00019858088463,4026.64035417636,2045.24581208381,1,2
1990-07-01,"r_Period30[1870-1899,Intercept]",0.999985747312067,1334.53304491524,1638.57236775136,1,2
1990-07-01,"r_Period30[1900-1929,Intercept]",1.00034196241704,1515.72479636994,1797.80755219493,1,2
1990-07-01,"r_Period30[1930-1959,Intercept]",0.999924995355657,1667.95831493031,2033.81807406834,1,2
1990-07-01,"r_Period30[1960-1989,Intercept]",1.00311643484817,1589.56886162014,1650.16299979302,1,2
1990-07-01,"r_Period30[1870-1899,CAPE]",1.00268513969856,1406.39614503109,1745.87216398024,1,2
1990-07-01,"r_Period30[1900-1929,CAPE]",1.00109762495333,1649.12684798428,1885.68154462554,1,2
1990-07-01,"r_Period30[1930-1959,CAPE]",1.0006053178391,1927.47961212469,2617.84360341221,1,2
1990-07-01,"r_Period30[1960-1989,CAPE]",1.00044800331388,1854.22934192915,2383.72427295525,1,2
1991-01-01,"b_Intercept",1.0017784409883,1385.66794472466,1638.46946201772,1,3
1991-01-01,"b_CAPE",1.00010405386864,1898.91859187754,1987.14318789962,1,3
1991-01-01,"sd_Period30__Intercept",0.99994353741342,1546.24452695152,2060.41500421566,1,3
1991-01-01,"sd_Period30__CAPE",1.00088161018719,901.942174846949,1239.09859500803,1,3
1991-01-01,"cor_Period30__Intercept__CAPE",1.0019865161986,1398.71570105392,1527.29097831417,1,3
1991-01-01,"sigma",1.00070452226972,2956.36250699052,1555.28856725382,1,3
1991-01-01,"r_Period30[1870-1899,Intercept]",1.00117224955614,1624.60717957773,1820.10352181467,1,3
1991-01-01,"r_Period30[1900-1929,Intercept]",1.0003063497406,1464.25157386276,1666.12500543154,1,3
1991-01-01,"r_Period30[1930-1959,Intercept]",1.00089041809249,1617.58365935109,2124.38795829504,1,3
1991-01-01,"r_Period30[1960-1989,Intercept]",1.00038072491387,1563.79118716072,1830.48143229977,1,3
1991-01-01,"r_Period30[1870-1899,CAPE]",1.00077302129725,1535.72584736825,1566.5267175215,1,3
1991-01-01,"r_Period30[1900-1929,CAPE]",1.00007509076442,1942.71101732108,2193.01445005435,1,3
1991-01-01,"r_Period30[1930-1959,CAPE]",1.00104946604376,2143.83742883502,2351.12527282658,1,3
1991-01-01,"r_Period30[1960-1989,CAPE]",1.00016175062297,2036.16351489481,2229.10297524827,1,3
1991-07-01,"b_Intercept",1.00097507931624,1514.76866889809,1632.06145304108,1,4
1991-07-01,"b_CAPE",1.0010657470048,1513.89518602261,1606.32527434167,1,4
1991-07-01,"sd_Period30__Intercept",1.00147853196965,1261.41830764413,1725.85876536943,1,4
1991-07-01,"sd_Period30__CAPE",1.00005654106002,770.095547377289,1315.8269611579,1,4
1991-07-01,"cor_Period30__Intercept__CAPE",1.00054797021727,1357.93392669628,1622.23912881589,1,4
1991-07-01,"sigma",1.00051853290853,3148.34365408474,2323.53621030673,1,4
1991-07-01,"r_Period30[1870-1899,Intercept]",1.00110658410453,1638.64191951433,1987.10596758101,1,4
1991-07-01,"r_Period30[1900-1929,Intercept]",1.00142733673142,1506.71618924157,1579.84487423818,1,4
1991-07-01,"r_Period30[1930-1959,Intercept]",0.999950157837025,1718.7991158594,1961.06228506218,1,4
1991-07-01,"r_Period30[1960-1989,Intercept]",1.00197716030312,1609.25712891843,1674.25018825247,1,4
1991-07-01,"r_Period30[1870-1899,CAPE]",1.00040678725386,1558.43811776132,1699.49415648639,1,4
1991-07-01,"r_Period30[1900-1929,CAPE]",1.00016731633898,1480.50827369298,1742.57531773417,1,4
