"Date","Parameter","Rhat","ESS_Bulk","ESS_Tail","Block","Step"
1990-01-01,"b_Intercept",1.00358915881362,1149.81156177365,1557.33115286225,1,1
1990-01-01,"b_CAPE",1.00152814026614,1095.38178652126,1234.66101330271,1,1
1990-01-01,"sd_Inflation_Category__Intercept",1.00145605568665,1245.90894002796,1513.74923723108,1,1
1990-01-01,"sd_Inflation_Category__CAPE",0.999783441729152,855.567872665623,1273.22342104895,1,1
1990-01-01,"cor_Inflation_Category__Intercept__CAPE",1.00092593095774,1182.72767895067,1228.72918710547,1,1
1990-01-01,"sigma",1.00389223648932,3174.62397701201,1539.85276829548,1,1
1990-01-01,"r_Inflation_Category[high,Intercept]",1.00342741807425,1348.19017226399,1671.40559920243,1,1
1990-01-01,"r_Inflation_Category[low,Intercept]",1.00542926840077,1168.89744120193,1723.02221643141,1,1
1990-01-01,"r_Inflation_Category[medium,Intercept]",1.00377575183909,1250.56031648685,1809.52897399312,1,1
1990-01-01,"r_Inflation_Category[negative,Intercept]",1.00236584868175,1320.139083166,1676.11272375158,1,1
1990-01-01,"r_Inflation_Category[high,CAPE]",1.00122920394169,1312.96277649968,1305.96161271012,1,1
1990-01-01,"r_Inflation_Category[low,CAPE]",1.00234271229926,1019.23872618205,1218.28254138602,1,1
1990-01-01,"r_Inflation_Category[medium,CAPE]",1.00197850273372,1169.80754736416,1632.00302333229,1,1
1990-01-01,"r_Inflation_Category[negative,CAPE]",1.00087286948619,1176.8659799111,1308.66419927287,1,1
1990-07-01,"b_Intercept",1.00014029286451,1093.02954229994,1298.16648072945,1,2
1990-07-01,"b_CAPE",1.00110491244177,1419.76071361992,1394.38010984161,1,2
1990-07-01,"sd_Inflation_Category__Intercept",1.0016392408529,1026.24792349987,1334.94103873836,1,2
1990-07-01,"sd_Inflation_Category__CAPE",0.999937115208589,1104.07980928708,1283.15555638409,1,2
1990-07-01,"cor_Inflation_Category__Intercept__CAPE",0.999805051072808,1371.46625079518,1780.59249524535,1,2
1990-07-01,"sigma",1.00308090475966,3138.42783407199,2339.05137603347,1,2
1990-07-01,"r_Inflation_Category[high,Intercept]",1.00014230633279,1234.26659662562,1429.48365474179,1,2
1990-07-01,"r_Inflation_Category[low,Intercept]",0.999931579298631,1201.81909002371,1493.12865812021,1,2
1990-07-01,"r_Inflation_Category[medium,Intercept]",1.00118835280767,1220.52205610488,1324.77531472957,1,2
1990-07-01,"r_Inflation_Category[negative,Intercept]",1.00103185702644,1191.6480838,1373.1845416131,1,2
1990-07-01,"r_Inflation_Category[high,CAPE]",0.999764897669426,1602.95726687737,1635.80797328741,1,2
1990-07-01,"r_Inflation_Category[low,CAPE]",1.00142554775403,1450.51921543473,1441.79091751653,1,2
1990-07-01,"r_Inflation_Category[medium,CAPE]",1.00029108591865,1469.9366412424,1394.38010984161,1,2
1990-07-01,"r_Inflation_Category[negative,CAPE]",1.00038307222161,1464.81297429542,1467.74821682276,1,2
1991-01-01,"b_Intercept",0.999840838580539,1217.08500536011,1535.49741304005,1,3
1991-01-01,"b_CAPE",1.00091834283106,1179.48423989514,1078.02056360113,1,3
1991-01-01,"sd_Inflation_Category__Intercept",1.00171665243921,1440.18560028432,1691.9166486335,1,3
1991-01-01,"sd_Inflation_Category__CAPE",1.00010630428224,936.264154617493,1362.26541623755,1,3
1991-01-01,"cor_Inflation_Category__Intercept__CAPE",1.00014948053383,1309.82928825634,1676.23331869267,1,3
1991-01-01,"sigma",1.0005502508935,2952.15837671152,1769.07981132241,1,3
1991-01-01,"r_Inflation_Category[high,Intercept]",1.00071353766163,1345.39639691218,1757.32431973896,1,3
1991-01-01,"r_Inflation_Category[low,Intercept]",0.999718149365077,1312.28843801185,1759.74362867054,1,3
1991-01-01,"r_Inflation_Category[medium,Intercept]",0.999669626503469,1366.43305979634,1716.38636986207,1,3
1991-01-01,"r_Inflation_Category[negative,Intercept]",1.00042049815049,1266.75507773574,1517.10077153131,1,3
1991-01-01,"r_Inflation_Category[high,CAPE]",0.999806809498173,1408.01283688066,1301.20928949741,1,3
1991-01-01,"r_Inflation_Category[low,CAPE]",1.00107315202076,1196.93078538119,1175.3016350335,1,3
1991-01-01,"r_Inflation_Category[medium,CAPE]",1.00140567316261,1262.13232608685,1118.61338483545,1,3
1991-01-01,"r_Inflation_Category[negative,CAPE]",1.00030104392443,1227.22013620549,1111.55012864274,1,3
1991-07-01,"b_Intercept",1.00002616420418,932.11747593422,1512.67779269484,1,4
1991-07-01,"b_CAPE",0.999892313614979,1290.22795278002,1362.50825613287,1,4
1991-07-01,"sd_Inflation_Category__Intercept",1.00017690334718,1128.68035315786,1588.14680196553,1,4
1991-07-01,"sd_Inflation_Category__CAPE",1.00113044637144,1066.86658918889,1196.37560068055,1,4
1991-07-01,"cor_Inflation_Category__Intercept__CAPE",1.00202880214305,1390.52209449864,1482.83192727497,1,4
1991-07-01,"sigma",0.99973883338281,3271.00187512815,1929.91340014736,1,4
1991-07-01,"r_Inflation_Category[high,Intercept]",1.00073581038282,1125.53705078777,1846.54814434133,1,4
1991-07-01,"r_Inflation_Category[low,Intercept]",1.00026390053741,1032.5826069743,1510.32141706477,1,4
1991-07-01,"r_Inflation_Category[medium,Intercept]",0.999784442357671,1092.26865512641,1615.94717415026,1,4
1991-07-01,"r_Inflation_Category[negative,Intercept]",0.999717099045914,1005.83595103393,1579.86209137998,1,4
1991-07-01,"r_Inflation_Category[high,CAPE]",0.999903541753067,1483.39808589581,1626.02281657919,1,4
