"Date","Predicted","Actual","Upper","Lower","Lpds"
1990-01-01,4.64917030729331,14.9579481869857,7.12816778134382,1.92502440512151,-5.50771774311424
1990-02-01,4.98788573647907,14.9496055876918,7.30680674164648,2.31942863618561,-5.31393923726199
1990-03-01,4.78390190144592,15.0549821102289,7.19712623374631,2.083748255025,-5.49447667021939
1990-04-01,4.79632574625936,15.2061165216084,7.20449055124354,2.0972652055312,-5.58481345286843
1990-05-01,4.43396469586943,14.4544864274152,7.01016708343439,1.68133088242955,-5.30825552600094
1990-06-01,4.16796007732727,14.4554102325362,6.89376595692331,1.35741915860633,-5.4488076388802
1990-07-01,4.2549798204905,14.5501488443076,6.94700910156976,1.53604646637582,-5.45814533326184
1990-08-01,5.23450812098005,15.7056454563594,7.49899299413155,2.7030806102358,-5.63908285537739
1990-09-01,5.77243536181357,16.1303222714911,7.97184176767985,3.34675984499759,-5.58062014682665
1990-10-01,6.07217934015824,15.8303544825237,8.31940963780411,3.69830602064135,-5.20290023510322
1990-11-01,5.84296238727959,15.4197519131953,8.04894007492485,3.42950724592918,-5.09112495132479
1990-12-01,5.43429285076689,14.522336198856,7.65061570626866,2.9429196814124,-4.79810865142174
1991-01-01,5.5982890214089,14.649112480056,7.77874491071209,3.11826766902306,-4.7886915443863
1991-02-01,4.49826665603597,13.1239838863996,7.06103126658286,1.78611282405017,-4.51677468580781
1991-03-01,4.206377233771,11.7078155885305,6.92199882140964,1.4250495307618,-3.95877690758421
1991-04-01,3.9945320526138,11.4806604908808,6.83099518597229,1.1692466859437,-3.9442310464841
1991-05-01,4.06997447686452,12.2273327511674,6.86434313809758,1.25988243840638,-4.25870225853717
1991-06-01,4.0826853875513,11.9315518156239,6.87242190588006,1.27515319575576,-4.1123005025085
1991-07-01,3.9984066368615,11.5910942632518,6.81363036593554,1.25424133291997,-3.97845556594513
1991-08-01,3.73848397044287,11.0991402751023,6.71936989301842,0.91751637279883,-3.86382954532274
1991-09-01,3.83701904298829,9.81340932644539,6.75055706038199,1.04486251611665,-3.3398441433314
1991-10-01,3.8421656636133,10.1914025159171,6.75312887787594,1.05153479993545,-3.47048116509217
1991-11-01,3.88051755899283,10.7851720372497,6.76673185873324,1.10125784497162,-3.68281443651013
1991-12-01,3.78337600167218,10.8952469055153,6.73496033100848,0.975317542308846,-3.76228453551459
1992-01-01,2.97045705282895,10.0688389241661,6.44799062425122,-0.0667321991331803,-3.72548209445147
1992-02-01,3.09286282684993,9.75652099875555,6.49618806682155,0.0866965546703359,-3.56667098019565
1992-03-01,3.28567565339403,10.393468426541,6.55638862190266,0.323431631062247,-3.74607640765875
1992-04-01,3.27429853677614,9.92473008658468,6.55368584806673,0.309537734100571,-3.5694357017831
1992-05-01,3.0417994764404,9.40228370768157,6.47549485620552,0.0255226231818477,-3.45642755323813
1992-06-01,3.26519533502581,8.91511606171027,6.55152327064573,0.298426940600208,-3.22919779071859
1992-07-01,3.00663482232859,7.48956599860078,6.51415197214448,0.0324572475558592,-2.89715592723902
1992-08-01,2.9406783080424,7.50521177233503,6.48727183656652,-0.0495137929841803,-2.91692621875789
1992-09-01,2.94937591365376,6.95448776410601,6.49007816818851,-0.0388626432390072,-2.79087347229568
1992-10-01,3.16956010555024,6.95463672685392,6.56990542079852,0.244186044217528,-2.74319772158536
1992-11-01,2.86813781415615,7.3658714499208,6.46076329687147,-0.1409248705346,-2.90131519172766
1992-12-01,2.46812517015877,6.92570001637467,6.3350899740843,-0.653748819117797,-2.8947264233301
1993-01-01,2.59229339262719,6.89205544225495,6.28856872774714,-0.554329557498854,-2.88348458139323
1993-02-01,2.44808399463147,5.96008359866009,6.25356816696997,-0.741520074690286,-2.72520508230706
1993-03-01,2.24673214747439,5.84589498500139,6.17939232084645,-1.00851731769129,-2.74518839801535
1993-04-01,2.50525075337144,6.58908204128836,6.27080519520209,-0.666446342160856,-2.83712151098505
1993-05-01,2.46610393797556,7.09717971550785,6.25778210207355,-0.717629615198813,-2.96158784653766
1993-06-01,2.40713291900361,7.60336204726311,6.24169197549082,-0.795921677928657,-3.1061744295804
1993-07-01,2.41176537905217,7.6491577847394,6.19953707154823,-0.747158370398903,-3.10459019332592
1993-08-01,2.24971509775009,7.43238863252456,6.14517545947649,-0.962794354178323,-3.08891326074996
1993-09-01,2.13108940410664,7.60979634683006,6.10242735473895,-1.12065263770082,-3.1690973894161
1993-10-01,2.05538999832468,7.74932393810008,6.07287998950621,-1.21889661106849,-3.22968031787476
1993-11-01,2.10203383960053,7.91503760691608,6.09098868822731,-1.15898627335497,-3.26550317784959
1993-12-01,2.01903546552842,8.1575467808096,6.05837404782496,-1.26620279217312,-3.36355543908161
1994-01-01,1.88254093509506,8.4698885504678,6.03172483080384,-1.52371492992595,-3.49726388059598
1994-02-01,1.97900424157434,8.57409168935146,6.05951568120757,-1.39374804904118,-3.50359074864921
1994-03-01,2.25931670084334,8.52579855183389,6.16530585621469,-1.01748569411868,-3.40450490380204
1994-04-01,2.76602157495056,8.98080685186899,6.33915234354483,-0.339746518301146,-3.40308466787496
1994-05-01,2.6740464987002,8.52781230578765,6.29747693951275,-0.459364958994205,-3.28383039713877
1994-06-01,2.61265833830542,8.71658207274504,6.27437742020623,-0.543797199259271,-3.36197087132574
1994-07-01,2.77944073991413,8.57371728216079,6.34723120875604,-0.274606713845975,-3.27633748304974
1994-08-01,2.47522455356854,8.13150700249778,6.22860129160136,-0.68797831218401,-3.2284886347644
1994-09-01,2.44861480604582,8.34676666405327,6.21761022169765,-0.724462454357766,-3.30168536311313
