"Date","Predicted","Actual","Upper","Lower","RMSE"
1990-10-01,5.71041595828296,15.8303544825237,6.08235229132907,5.34665979210014,10.1199385242407
1990-11-01,5.46836212301168,15.4197519131953,5.84814101267928,5.08592542761453,9.95138979018359
1990-12-01,5.02296918208237,14.522336198856,5.38931792938386,4.65385024700559,9.49936701677359
1991-01-01,5.18759997258437,14.649112480056,5.57539815781097,4.83584323231287,9.46151250747159
1991-02-01,4.01134394864359,13.1239838863996,4.41470218925835,3.6147793549722,9.11263993775605
1991-03-01,3.72139436166732,11.7078155885305,4.1442068180966,3.31262052918775,7.98642122686322
1991-04-01,3.49293188178384,11.4806604908808,3.91873492805728,3.07501019188194,7.98772860909695
1991-05-01,3.56818503491572,12.2273327511674,4.0035102365775,3.14639680339514,8.65914771625166
1991-06-01,3.59349051622103,11.9315518156239,4.00880117826125,3.16240409723213,8.33806129940287
1991-07-01,3.52943535057136,11.5910942632518,3.9452921249634,3.10813207543567,8.06165891268046
1991-08-01,4.49842800832395,11.0991402751023,4.92318909385026,4.05624468346925,6.60071226677835
1991-09-01,4.6018707565199,9.81340932644539,5.03826839456889,4.16466509606438,5.21153856992549
1991-10-01,4.60247084344314,10.1914025159171,5.01905007565364,4.16874109110488,5.58893167247391
1991-11-01,4.6433959132379,10.7851720372497,5.07731095862872,4.20513663524374,6.14177612401179
1991-12-01,4.53889301326897,10.8952469055153,4.96825872620954,4.10405505949737,6.35635389224632
1992-01-01,3.64858482200605,10.0688389241661,4.12425556214451,3.18398471068383,6.42025410216005
1992-02-01,3.77490351867262,9.75652099875555,4.21001186941476,3.33510981568758,5.98161748008292
1992-03-01,3.98593360074217,10.393468426541,4.44215302105385,3.54153101493989,6.4075348257988
1992-04-01,3.97515265564228,9.92473008658468,4.42674060850483,3.54198435898124,5.94957743094239
1992-05-01,3.73099954058574,9.40228370768157,4.18721278202506,3.28766360359083,5.67128416709583
1992-06-01,3.96705935435946,8.91511606171027,4.42717861987477,3.51213835531011,4.94805670735081
1992-07-01,3.76162939204007,7.48956599860078,4.19593735516909,3.30809686885977,3.72793660656071
1992-08-01,3.70132175495893,7.50521177233503,4.15248394316885,3.25172619191869,3.8038900173761
1992-09-01,3.71156022708014,6.95448776410601,4.1542650011833,3.2541029264714,3.24292753702587
1992-10-01,3.93491146109552,6.95463672685392,4.38106307840013,3.46436474179231,3.0197252657584
1992-11-01,3.63164286962036,7.3658714499208,4.08302615236663,3.16842977596253,3.73422858030044
1992-12-01,3.21073177928303,6.92570001637467,3.69112966880767,2.7136360223539,3.71496823709164
1993-01-01,3.28975620893234,6.89205544225495,3.76399774504679,2.81506120748352,3.60229923332261
1993-02-01,3.14359672512392,5.96008359866009,3.60955226699549,2.65858821826608,2.81648687353617
1993-03-01,2.93439807691653,5.84589498500139,3.39638274432262,2.46871465586861,2.91149690808486
1993-04-01,3.2002033417839,6.58908204128836,3.66781460097569,2.72449684286284,3.38887869950446
1993-05-01,3.16929803386717,7.09717971550785,3.6470058111648,2.68275106459138,3.92788168164068
1993-06-01,3.10197373524449,7.60336204726311,3.56958644555361,2.62221754010539,4.50138831201862
1993-07-01,3.13056261782678,7.6491577847394,3.59690416239465,2.6823451049176,4.51859516691262
1993-08-01,2.96824654387187,7.43238863252456,3.43911691629957,2.49119993078157,4.46414208865269
1993-09-01,2.84737046552054,7.60979634683006,3.34333028439155,2.3638013014801,4.76242588130951
1993-10-01,2.7748346164241,7.74932393810008,3.26321229796983,2.2718141332843,4.97448932167598
1993-11-01,2.8214046769468,7.91503760691608,3.29101494730479,2.32545400440006,5.09363292996927
1993-12-01,2.73004285896676,8.1575467808096,3.20509556200139,2.24894650067562,5.42750392184284
1994-01-01,2.56149741976057,8.4698885504678,3.04321835347223,2.0573926250665,5.90839113070723
1994-02-01,2.66965932944075,8.57409168935146,3.18032851059733,2.17979674068432,5.90443235991071
1994-03-01,2.95106960180646,8.52579855183389,3.43016205327901,2.46469258744581,5.57472895002743
1994-04-01,3.48503899942609,8.98080685186899,3.94200588678938,3.03161041532731,5.49576785244291
1994-05-01,3.38392539812925,8.52781230578765,3.82693675173528,2.92950782290022,5.1438869076584
1994-06-01,3.33458111932379,8.71658207274504,3.78598107445464,2.88096026917759,5.38200095342125
1994-07-01,3.46888099606109,8.57371728216079,3.9265494765339,3.02332580935658,5.1048362860997
1994-08-01,3.15207538542302,8.13150700249778,3.62918272560876,2.6756254376743,4.97943161707477
1994-09-01,3.11302034356957,8.34676666405327,3.57576588103342,2.64424835083708,5.2337463204837
1994-10-01,3.24932688013268,8.35632992767432,3.68889521598484,2.80121309883892,5.10700304754165
1994-11-01,3.37438518260735,8.91193770790322,3.8149064946861,2.91422292723344,5.53755252529587
1994-12-01,3.58469129852381,9.35812392019215,4.04608524405858,3.13144153377445,5.77343262166834
1995-01-01,3.37264854516613,8.96641536381608,3.82272496841851,2.93312775633906,5.59376681864995
1995-02-01,2.97679614654242,8.7208998858727,3.45934232490785,2.48534276923292,5.74410373933028
1995-03-01,2.73771778239802,8.37050012168039,3.2317807000562,2.25088651748179,5.63278233928237
1995-04-01,2.41156115071228,7.72831598298422,2.8934484783991,1.9241162793705,5.31675483227195
1995-05-01,2.04168080758074,7.54908214365981,2.55571186586138,1.53053907378966,5.50740133607907
1995-06-01,1.68421102682353,7.46034625580998,2.20197600605304,1.15300059248745,5.77613522898645
1995-07-01,1.23851432809069,7.22891264589862,1.8141601687359,0.670767061674957,5.99039831780793
1995-08-01,1.3026004380639,7.18060562370286,1.8685572816172,0.719543082467408,5.87800518563897
1995-09-01,0.858016526018589,6.7111903472969,1.44084438971419,0.293397779680893,5.85317382127831
1995-10-01,0.877511519943397,6.34450961532196,1.44798624613143,0.301765453160099,5.46699809537856
1995-11-01,0.592059407038027,6.58897390429147,1.17757543589083,0.00167102514296973,5.99691449725345
1995-12-01,0.143752290230531,6.49625533668268,0.739141431453607,-0.454694848075671,6.35250304645215
1996-01-01,0.312160392552867,6.61546870657075,0.939574237161039,-0.315644701941341,6.30330831401788
1996-02-01,-0.514006558412236,6.01674003922545,0.153208861692317,-1.1368513163502,6.53074659763769
1996-03-01,-0.273816856392551,6.19064776461453,0.352592907731238,-0.910637270504301,6.46446462100708
1996-04-01,-0.117628599257688,6.20512836494946,0.532542504279149,-0.766500407303806,6.32275696420715
1996-05-01,-0.391681186678728,5.84254181691859,0.275634676278485,-1.08886277885076,6.23422300359732
1996-06-01,-0.489031129932967,5.40459480031399,0.155961879024767,-1.13257334995999,5.89362593024696
1996-07-01,0.266227667996938,5.84310841389473,0.875511025718611,-0.318865796644511,5.57688074589779
1996-08-01,-0.108383165149611,5.76172699588209,0.510974204345614,-0.738998494136173,5.8701101610317
1996-09-01,-0.289886797806358,5.89982956848207,0.352607914043899,-0.903044214856028,6.18971636628843
1996-10-01,-0.83405835025633,5.93963145995293,-0.181810982090157,-1.50010511604753,6.77368981020926
1996-11-01,-2.91869073731327,5.66370380665642,-2.18532940963912,-3.64028429204778,8.58239454396969
1996-12-01,-3.02904821329447,5.74681654788964,-2.3128273063857,-3.76237910434783,8.77586476118412
1997-01-01,-2.05890927057419,5.48229600836783,-1.32568336077134,-2.78728421075312,7.54120527894202
1997-02-01,-2.68208938851459,5.17636525158252,-1.9023239619948,-3.44906282771041,7.85845464009711
1997-03-01,-2.35482778765974,4.91009543678802,-1.57935566266693,-3.07484489335289,7.26492322444776
1997-04-01,-1.54701043252105,5.65107359687875,-0.825970549622946,-2.27972413342441,7.1980840293998
1997-05-01,-3.11066370864268,5.0030348621763,-2.29101610874025,-3.91720548176857,8.11369857081899
1997-06-01,-4.00063672976411,4.48739432460614,-3.09485794706779,-4.84757405054031,8.48803105437025
1997-07-01,-4.99097491096192,3.98150587567987,-4.02250173841834,-5.91986627442688,8.97248078664179
1997-08-01,-4.86518758243528,3.53868380152653,-3.96560828967748,-5.7945808321905,8.40387138396182
1997-09-01,-4.90404172762461,3.72705654917298,-3.94794739279953,-5.87061968085346,8.63109827679759
1997-10-01,-5.03456751023948,3.86726223029916,-4.10905360260477,-5.98936728427203,8.90182974053864
1997-11-01,-4.62259061743353,3.40917091847768,-3.7039990240831,-5.51186993297311,8.03176153591121
1997-12-01,-5.08987255014625,3.26183706752459,-4.12076395922822,-5.99684044922679,8.35170961767083
1998-01-01,-4.96583610895382,2.49932270291005,-4.02287076748885,-5.91470960133903,7.46515881186386
1998-02-01,-6.21024783489585,1.69422733102509,-5.12497640305244,-7.21947215392259,7.90447516592094
1998-03-01,-7.27108553917043,0.831940719870428,-6.1754179560979,-8.37648807224634,8.10302625904086
1998-04-01,-7.92699380248169,0.871010839866937,-6.79048948935627,-9.09824882326816,8.79800464234862
1998-05-01,-7.69952099877583,1.08289733404225,-6.5471495780516,-8.82910993687197,8.78241833281809
1998-06-01,-7.57551413574206,0.544999701531146,-6.42960522817625,-8.69115415436396,8.1205138372732
1998-07-01,-8.55285859355681,-0.559217818734714,-7.39389219350968,-9.75824069828799,7.9936407748221
1998-08-01,-6.62458001918083,0.423776786773788,-5.63624860191585,-7.64259196788627,7.04835680595462
1998-09-01,-5.30746228845941,0.455324891559106,-4.29950852034364,-6.25998222448021,5.76278718001851
1998-10-01,-5.47757466882416,-1.78766547650953,-4.48273013372405,-6.43751013752745,3.68990919231463
1998-11-01,-7.88639386959385,-3.48939729743956,-6.7495653974842,-9.01579865831811,4.3969965721543
1998-12-01,-8.88356986244336,-3.81667681586418,-7.69056582001257,-10.0620438823904,5.06689304657917
1999-01-01,-10.0343161391335,-4.41315106295773,-8.73205044667177,-11.3287417090803,5.62116507617579
1999-02-01,-9.91218813758371,-5.10363177127089,-8.66468967360424,-11.1698199249231,4.80855636631282
1999-03-01,-10.5337783251201,-5.92388358346657,-9.17541881527753,-11.917654258225,4.60989474165351
1999-04-01,-11.4470949507964,-5.17514022966862,-10.0550927895198,-12.8938019403797,6.27195472112776
