"Date","Parameter","Rhat","ESS_Bulk","ESS_Tail"
1990-01-01,"b_Intercept",1.0009508351238,801.897430116113,1206.10186239535
1990-01-01,"b_CAPE",1.00093340476551,819.221602660875,1041.80967906602
1990-01-01,"sigma",1.00171969732329,1250.21363803556,865.596477939846
1990-02-01,"b_Intercept",1.00114170149086,928.788409661099,1197.55780458425
1990-02-01,"b_CAPE",1.00098272379883,946.463558177003,1097.04039554642
1990-02-01,"sigma",1.0001142629991,1338.54145165546,1568.27246170488
1990-03-01,"b_Intercept",1.00033576900731,1036.79890074337,1219.8802001683
1990-03-01,"b_CAPE",1.00054284906052,1058.75885213371,1119.12811850795
1990-03-01,"sigma",1.00066790767718,1132.42750167496,956.86972315534
1990-04-01,"b_Intercept",1.00022707753972,1170.10422869148,1365.93682994378
1990-04-01,"b_CAPE",1.00020363758253,1137.97782472149,1488.98300134754
1990-04-01,"sigma",1.00025704309676,1323.63601862216,1292.36103168398
1990-05-01,"b_Intercept",1.0053269218303,1239.0491762181,1189.84838528792
1990-05-01,"b_CAPE",1.00492431589612,1243.91778436238,1313.39972234858
1990-05-01,"sigma",1.00030895412478,1591.25552285596,1631.48196046245
1990-06-01,"b_Intercept",0.999859619167312,997.801942527762,1147.7598776151
1990-06-01,"b_CAPE",0.999737189718452,1026.04926612177,1127.30629032882
1990-06-01,"sigma",0.999971555264136,1172.56024233167,1307.19453899224
1990-07-01,"b_Intercept",1.00116739389304,1030.17443538173,1102.93590989926
1990-07-01,"b_CAPE",1.00106425132141,991.473919869453,1053.34274736758
1990-07-01,"sigma",1.00317876993783,1230.78218021418,817.796383875501
1990-08-01,"b_Intercept",1.00562430854863,958.612919149696,1152.11194283858
1990-08-01,"b_CAPE",1.00630533802085,944.761541964603,1136.24991720219
1990-08-01,"sigma",0.999684674584404,1504.70808894484,1313.20347024782
1990-09-01,"b_Intercept",0.999889961020917,760.597128705916,1011.67101997128
1990-09-01,"b_CAPE",1.00027785749246,768.382825675363,1037.28473165346
1990-09-01,"sigma",1.00026433487881,1727.20149691388,1591.00669264435
1990-10-01,"b_Intercept",1.00097109399816,919.153119027253,945.026768840208
1990-10-01,"b_CAPE",1.00149301459256,888.692634479573,991.853213534999
1990-10-01,"sigma",0.999883893371321,1370.86092347615,1311.25325825366
1990-11-01,"b_Intercept",0.999932798254863,899.081940788,1159.39343008254
1990-11-01,"b_CAPE",1.00002617575024,920.298475188355,1219.39259218724
1990-11-01,"sigma",1.00016885170203,1424.19192442057,1395.23787284643
1990-12-01,"b_Intercept",0.999919385072455,1015.05702044933,1242.82539839417
1990-12-01,"b_CAPE",1.00030513449387,996.365772549741,1071.90490721194
1990-12-01,"sigma",1.00204229707718,1468.57990248758,1257.74547762351
1991-01-01,"b_Intercept",1.00024366509957,1084.3646774335,1210.57348615044
1991-01-01,"b_CAPE",1.00022894660218,1078.15882201763,1352.97817664554
1991-01-01,"sigma",1.00136328985707,957.597497929843,1224.59477937805
1991-02-01,"b_Intercept",1.00319988679749,991.655259841626,1115.86222746563
1991-02-01,"b_CAPE",1.00409350448366,987.637415482757,1159.46666528091
1991-02-01,"sigma",1.00778958519748,1496.75776021796,1127.4497219919
1991-03-01,"b_Intercept",1.00489891390053,962.18477192748,991.018495515389
1991-03-01,"b_CAPE",1.00891284728194,989.688687383166,1029.47375594763
1991-03-01,"sigma",1.00145878546009,1519.86326009607,1450.90972827553
1991-04-01,"b_Intercept",1.0001356554352,1064.46869584726,1121.62798457715
1991-04-01,"b_CAPE",1.00048937249147,1088.51276204818,1255.47159575103
1991-04-01,"sigma",0.999710241953803,1574.23093979068,1342.34661332011
1991-05-01,"b_Intercept",1.00221165283763,1185.85440012244,1214.80968141399
1991-05-01,"b_CAPE",1.00375454666172,1205.08342557782,1303.43589336778
1991-05-01,"sigma",1.00267685522838,1278.10380772217,1039.59958335696
1991-06-01,"b_Intercept",1.00119735001501,975.234528327986,871.282907906675
1991-06-01,"b_CAPE",1.00157664744487,951.158374469736,816.908608455529
1991-06-01,"sigma",1.00022321758871,1273.5761338802,1145.75158117592
1991-07-01,"b_Intercept",1.0024459699448,923.993967373347,1069.65686885913
1991-07-01,"b_CAPE",1.0018093741581,921.834861886294,975.215431293707
1991-07-01,"sigma",1.00166930578288,1361.99223919789,1109.90014593897
1991-08-01,"b_Intercept",1.00102140221245,966.655519751998,1024.69898706405
1991-08-01,"b_CAPE",1.00081149524488,989.07958826612,1094.48812653652
1991-08-01,"sigma",1.00302974289515,1214.16314084088,1193.61763176921
1991-09-01,"b_Intercept",1.0007995802132,842.638602080146,788.154416999765
1991-09-01,"b_CAPE",1.00157913514491,884.789231453229,855.38952829146
1991-09-01,"sigma",1.00138442933382,1445.96188525002,1383.99118375415
1991-10-01,"b_Intercept",1.00142521868796,1000.12927742829,1038.62141780802
1991-10-01,"b_CAPE",1.00093547126367,1007.95151733309,1122.4036477767
1991-10-01,"sigma",1.00002328325645,1640.26640008231,1512.09591491026
1991-11-01,"b_Intercept",1.00160945570235,1090.4247247807,1113.31647381476
1991-11-01,"b_CAPE",1.00211812074724,1050.16813464029,1088.77827946437
1991-11-01,"sigma",0.999792517296455,1622.23111710503,1612.95907853948
1991-12-01,"b_Intercept",1.00062287031518,1121.63248036256,1160.38894545154
1991-12-01,"b_CAPE",1.00099135702298,1100.5554736274,1138.1268168255
1991-12-01,"sigma",1.00033955648771,1695.95564409492,1546.06782259502
1992-01-01,"b_Intercept",1.00016856978191,977.070163193318,813.55587261509
