"Date","Predicted","Actual","Upper","Lower","Lpds"
1990-11-01,5.88436844633956,15.4197519131953,8.08013961631415,3.3862068107075,-5.0989649250612
1990-12-01,5.46850513704312,14.522336198856,7.69028845216143,2.90515810551536,-4.80782277171744
1991-01-01,5.57062611825345,14.649112480056,7.81079331754405,3.1259881143097,-4.78271610075599
1991-02-01,4.45201216582646,13.1239838863996,7.05640023331663,1.80541870215502,-4.50669590423039
1991-03-01,4.1551894914977,11.7078155885305,6.90627866677262,1.44466127278613,-3.94925998538044
1991-04-01,3.9397638939313,11.4806604908808,6.80314038887455,1.17959294148817,-3.93431593386179
1991-05-01,4.0164813780737,12.2273327511674,6.85090885843008,1.27273054149975,-4.2480602331452
1991-06-01,4.02940711712216,11.9315518156239,6.85699405891241,1.28858382143982,-4.10207764396121
1991-07-01,4.01916911375115,11.5910942632518,6.84194340766069,1.24909533923091,-3.987350517915
1991-08-01,3.75765079913301,11.0991402751023,6.7286315024653,0.918605291331501,-3.87423421061062
1991-09-01,3.85679077202538,9.81340932644539,6.77310637325252,1.04467913342424,-3.34786773853015
1991-10-01,3.86196898741682,10.1914025159171,6.77377639438524,1.05155603989301,-3.47894363965291
1991-11-01,3.90055632256638,10.7851720372497,6.79036715915318,1.10082826200234,-3.69174566459685
1991-12-01,3.80281841959735,10.8952469055153,6.74868385210734,0.97565755008272,-3.77204949943336
1992-01-01,2.95889573995247,10.0688389241661,6.39118916764371,-0.0396396609093591,-3.73056741205318
1992-02-01,3.08136533302991,9.75652099875555,6.44065542463701,0.115154211680109,-3.57045974846997
1992-03-01,3.27427868696141,10.393468426541,6.5100626043967,0.357878620928513,-3.75015992097881
1992-04-01,3.26289563862295,9.92473008658468,6.50641809430097,0.344152011757779,-3.57270021600983
1992-05-01,3.03027535957201,9.40228370768157,6.4183889913884,0.0517289175483513,-3.45975936726995
1992-06-01,3.25378769070969,8.91511606171027,6.50351612279227,0.332261938113511,-3.23093772724765
1992-07-01,3.03685766483401,7.48956599860078,6.36480897068928,0.0460417088580767,-2.87267322248825
1992-08-01,2.97104142007097,7.50521177233503,6.34031415408924,-0.0384913466569179,-2.89195911353214
1992-09-01,2.97972052851029,6.95448776410601,6.34354796077963,-0.0268509670051015,-2.76843194894436
1992-10-01,3.19943645533946,6.95463672685392,6.42813191801707,0.247673975347157,-2.72229715959918
1992-11-01,2.89865519783773,7.3658714499208,6.31324482632674,-0.129584380178551,-2.87647713076164
1992-12-01,2.49949325954295,6.92570001637467,6.15719090537054,-0.643235198358786,-2.86912704889178
1993-01-01,2.61339554528304,6.89205544225495,6.23767833027959,-0.549395509398685,-2.853401555911
1993-02-01,2.46945120126246,5.96008359866009,6.18037899435979,-0.74178609265591,-2.69874288165664
1993-03-01,2.26846943475362,5.84589498500139,6.10109747912317,-1.00646939880345,-2.71796265223689
1993-04-01,2.52651288864882,6.58908204128836,6.20280424510432,-0.665270638986493,-2.80789730405261
1993-05-01,2.48743802431286,7.09717971550785,6.18744781821479,-0.718482228606601,-2.93010960758336
1993-06-01,2.42857539288856,7.60336204726311,6.16431479622343,-0.794706590922457,-3.07294094784431
1993-07-01,2.37438793425954,7.6491577847394,6.05486991519943,-0.786755704559202,-3.10694221189544
1993-08-01,2.21109303877382,7.43238863252456,5.98577438046519,-1.00090169769549,-3.09111399537576
1993-09-01,2.09155625000813,7.60979634683006,5.94141536014234,-1.15964357922046,-3.17128335700895
1993-10-01,2.01527544101372,7.74932393810008,5.91300347804752,-1.25898899843725,-3.23192442479504
1993-11-01,2.06227752657007,7.91503760691608,5.93126655463421,-1.19836643949099,-3.26784362719335
1993-12-01,1.97864169014518,8.1575467808096,5.90230449941754,-1.30728127168699,-3.366118479998
1994-01-01,1.93793394194595,8.4698885504678,5.93411634450735,-1.48559272478345,-3.53986746676125
1994-02-01,2.03480738801679,8.57409168935146,5.97124138474673,-1.35465434312619,-3.54567754027757
1994-03-01,2.31631167080661,8.52579855183389,6.07335326825641,-0.978057476173951,-3.44194257191397
1994-04-01,2.82517093644052,8.98080685186899,6.2634716860931,-0.304785622985729,-3.43702208719104
1994-05-01,2.73280480351187,8.52781230578765,6.22943390485153,-0.42546868365494,-3.31565539801091
